arm,ab_var,ucb_var,eps_var,ucb_inf_var,mix_prop_var
3.0,5.824943378062085,0.0,2.5016672457050397,3.20581379695779,0.5498815840291554
4.0,3.5032394303944816,3.998233081014596,3.146471265420887,0.43403119152154623,1.4941484415813726
5.0,1.9022850988081643,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.1724463303722494,,0.24387490744601234,0.12330362995481306
2.0,1.4121999654286637,1.3309758055385121,0.7196973678129199,0.03539224921488672,2.321811257175524
3.0,5.824943378062085,0.0,2.5016672457050397,3.20581379695779,0.5498815840291554
4.0,3.5032394303944816,3.998233081014596,3.206757319400825,0.43403119152154623,1.4941484415813726
5.0,1.4591801555720743,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.18087305149380242,,0.2790451924034617,0.11558719281420417
2.0,1.4121999654286637,1.3309758055385121,0.7196973678129199,0.03539224921488672,2.321811257175524
3.0,5.824943378062085,0.0,2.5016672457050397,3.20581379695779,0.5498815840291554
4.0,3.5032394303944816,3.998233081014596,3.3098183261437613,0.43403119152154623,1.4941484415813726
5.0,1.4591801555720743,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.029531238811710478,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.18087305149380242,,0.2790451924034617,0.10890564822949968
2.0,1.4121999654286637,1.3309758055385121,0.7196973678129199,0.03539224921488672,2.321811257175524
3.0,5.824943378062085,0.0,2.5016672457050397,3.20581379695779,0.5498815840291554
4.0,3.5032394303944816,3.998233081014596,3.261015417674462,0.43822877399868676,1.4941484415813726
5.0,1.4591801555720743,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.029531238811710478,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,3.429699897161235,0.05788305668646874,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.17381641217529245,,0.26438128522521664,0.13652480871372247
2.0,1.4121999654286637,1.3309758055385121,0.7196973678129199,0.03539224921488672,2.321811257175524
3.0,5.824943378062085,0.0,2.5016672457050397,3.20581379695779,0.5498815840291554
4.0,3.5032394303944816,3.998233081014596,3.1949299556027486,0.43822877399868676,1.4941484415813726
5.0,1.4591801555720743,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.029531238811710478,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,3.429699897161235,0.05788305668646874,,2.339425326713563,1.8339665278317474
8.0,5.415622708641349,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.17178749624549652,,0.2874811836114183,0.19123883915036616
2.0,1.4121999654286637,1.3309758055385121,0.7196973678129199,0.03539224921488672,2.321811257175524
3.0,5.824943378062085,0.0,2.5016672457050397,3.20581379695779,0.5498815840291554
4.0,3.5032394303944816,3.998233081014596,3.1949299556027486,0.43822877399868676,1.4941484415813726
5.0,1.4591801555720743,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.029531238811710478,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,3.429699897161235,0.05788305668646874,0.0,2.339425326713563,1.8339665278317474
8.0,5.415622708641349,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.07219992795878126,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.48588942651018263,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.16695412700331005,,0.2996274737062542,0.19123883915036616
2.0,1.4121999654286637,1.3309758055385121,0.7196973678129199,0.03539224921488672,2.321811257175524
3.0,5.824943378062085,0.0,2.5016672457050397,3.20581379695779,0.5498815840291554
4.0,3.5032394303944816,3.998233081014596,3.1949299556027486,0.43822877399868676,1.4941484415813726
5.0,1.4591801555720743,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.029531238811710478,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,3.429699897161235,0.05788305668646874,7.384654398454318,2.339425326713563,1.4849748272588998
8.0,5.415622708641349,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.07219992795878126,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.48588942651018263,0.0,,0.7966124528524424,0.002332755314635204
